date,hash,message,author_name,url
2020-03-28T16:01:24Z,5aa9e425b46f898c3b3802dceb7a0be027097bbc,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/5aa9e425b46f898c3b3802dceb7a0be027097bbc
2020-03-28T14:01:28Z,374f5ea60c652fe5c08dd3063cca9bff8e642eea,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/374f5ea60c652fe5c08dd3063cca9bff8e642eea
2020-03-28T10:01:27Z,88ca50054695ce1447c48ba607f5a6fa1264dc41,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/88ca50054695ce1447c48ba607f5a6fa1264dc41
2020-03-28T09:55:30Z,6d0376a679f87fe0fdecd1086bf89bfa0653d416,Change default position for menu and popup to centre rather than top left.,nicm,https://github.com/tmux/tmux/commit/6d0376a679f87fe0fdecd1086bf89bfa0653d416
2020-03-28T09:55:30Z,8036d0f834bbcce1a0eeff983750086354aec1e2,Change default position for menu and popup to centre rather than top left.,nicm,https://github.com/tmux/tmux/commit/8036d0f834bbcce1a0eeff983750086354aec1e2
2020-03-28T09:51:12Z,852a2f2e1f9cc941e2a01028ac191e834fb76c32,Make two -E only close popup automatically if the command exited with 0.,nicm,https://github.com/tmux/tmux/commit/852a2f2e1f9cc941e2a01028ac191e834fb76c32
2020-03-28T09:51:12Z,593fddf84b6ae661df46597a22107babcc77efd5,Make two -E only close popup automatically if the command exited with 0.,nicm,https://github.com/tmux/tmux/commit/593fddf84b6ae661df46597a22107babcc77efd5
2020-03-28T09:39:44Z,4346098e977d8fb3bde0783e9858f3def7bc01a5,Fix how popup height is calculated to take embedded newlines into account.,nicm,https://github.com/tmux/tmux/commit/4346098e977d8fb3bde0783e9858f3def7bc01a5
2020-03-28T09:39:27Z,e0b17e796b52bfad7d867bc876a9826bf5761be4,Add formats for top paste buffer by default. Also a tmux.1 fix from jmc.,nicm,https://github.com/tmux/tmux/commit/e0b17e796b52bfad7d867bc876a9826bf5761be4
2020-03-26T11:12:18Z,f986539e3c1c8757d443ea61c9c155c36aae38d7,Merge branch 'master' of github.com:tmux/tmux,Thomas Adam,https://github.com/tmux/tmux/commit/f986539e3c1c8757d443ea61c9c155c36aae38d7
2020-03-26T11:11:37Z,8a57d14f4bf9edacaa5a7f720d589e650b8f22be,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/8a57d14f4bf9edacaa5a7f720d589e650b8f22be
2020-03-21T13:51:42Z,75a93207d4cc9bb35c5c875267ce28e770a8b520,"Update capture-pane test, from Johannes Altmanninger.",Nicholas Marriott,https://github.com/tmux/tmux/commit/75a93207d4cc9bb35c5c875267ce28e770a8b520
2020-03-24T08:09:43Z,55b14cdc6aa23870843dd31239e56e8816bf90ff,"Add support for overlay popup boxes to show text or output temporarily
above the normal layout. These work similarly to menus and are created
with the display-popup command.",nicm,https://github.com/tmux/tmux/commit/55b14cdc6aa23870843dd31239e56e8816bf90ff
2020-03-24T08:09:43Z,8a838b0372163e1a7c0379991545a55028bb9eba,"Add support for overlay popup boxes to show text or output temporarily
above the normal layout. These work similarly to menus and are created
with the display-popup command.",nicm,https://github.com/tmux/tmux/commit/8a838b0372163e1a7c0379991545a55028bb9eba
2020-03-21T16:01:25Z,f652d777a61c1591805a6251160e35674699ced8,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/f652d777a61c1591805a6251160e35674699ced8
2020-03-21T14:01:27Z,5123bb7db4ce2f8744957a888c8fa264c1423166,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/5123bb7db4ce2f8744957a888c8fa264c1423166
2020-03-21T13:51:30Z,edca27ae45db7be104bc56a4e48e55cddc40acdb,"AIX colours are always stored as 90-97, not 100-107. From Johannes
Altmanninger.",nicm,https://github.com/tmux/tmux/commit/edca27ae45db7be104bc56a4e48e55cddc40acdb
2020-03-21T13:19:56Z,af6ae35900a066389c1c9b4dbd430b557fcb8816,"Set end position correctly, GitHub issue 2129 from Anindya Mukherjee.",nicm,https://github.com/tmux/tmux/commit/af6ae35900a066389c1c9b4dbd430b557fcb8816
2020-03-21T13:16:15Z,8828b958f04747cbf6126ec3443007b29570413a,Break code to convert an argument as a percentage into a common function.,nicm,https://github.com/tmux/tmux/commit/8828b958f04747cbf6126ec3443007b29570413a
2020-03-21T13:15:38Z,5aeab5ab4075c7740c223678df1548dc4a402d83,Preserve exit status from run-shell and pass to the client.,nicm,https://github.com/tmux/tmux/commit/5aeab5ab4075c7740c223678df1548dc4a402d83
